Year,Date,Easter Sunday
2021,2021-04-04,"April 04, 2021"
2022,2022-04-17,"April 17, 2022"
2023,2023-04-09,"April 09, 2023"
2024,2024-03-31,"March 31, 2024"
2025,2025-04-20,"April 20, 2025"
2026,2026-04-05,"April 05, 2026"
2027,2027-03-28,"March 28, 2027"
2028,2028-04-16,"April 16, 2028"
2029,2029-04-01,"April 01, 2029"
2030,2030-04-21,"April 21, 2030"
2031,2031-04-13,"April 13, 2031"
2032,2032-03-28,"March 28, 2032"
2033,2033-04-17,"April 17, 2033"
2034,2034-04-09,"April 09, 2034"
2035,2035-03-25,"March 25, 2035"
2036,2036-04-13,"April 13, 2036"
2037,2037-04-05,"April 05, 2037"
2038,2038-04-25,"April 25, 2038"
2039,2039-04-10,"April 10, 2039"
2040,2040-04-01,"April 01, 2040"
2041,2041-04-21,"April 21, 2041"
2042,2042-04-06,"April 06, 2042"
2043,2043-03-29,"March 29, 2043"
2044,2044-04-17,"April 17, 2044"
2045,2045-04-09,"April 09, 2045"
2046,2046-03-25,"March 25, 2046"
2047,2047-04-14,"April 14, 2047"
2048,2048-04-05,"April 05, 2048"
2049,2049-04-18,"April 18, 2049"
2050,2050-04-10,"April 10, 2050"
2051,2051-04-02,"April 02, 2051"
2052,2052-04-21,"April 21, 2052"
2053,2053-04-06,"April 06, 2053"
2054,2054-03-29,"March 29, 2054"
2055,2055-04-18,"April 18, 2055"
2056,2056-04-02,"April 02, 2056"
2057,2057-04-22,"April 22, 2057"
2058,2058-04-14,"April 14, 2058"
2059,2059-03-30,"March 30, 2059"
2060,2060-04-18,"April 18, 2060"
2061,2061-04-10,"April 10, 2061"
2062,2062-03-26,"March 26, 2062"
2063,2063-04-15,"April 15, 2063"
2064,2064-04-06,"April 06, 2064"
2065,2065-03-29,"March 29, 2065"
2066,2066-04-11,"April 11, 2066"
2067,2067-04-03,"April 03, 2067"
2068,2068-04-22,"April 22, 2068"
2069,2069-04-14,"April 14, 2069"
2070,2070-03-30,"March 30, 2070"
2071,2071-04-19,"April 19, 2071"
2072,2072-04-10,"April 10, 2072"
2073,2073-03-26,"March 26, 2073"
2074,2074-04-15,"April 15, 2074"
2075,2075-04-07,"April 07, 2075"
2076,2076-04-19,"April 19, 2076"
2077,2077-04-11,"April 11, 2077"
2078,2078-04-03,"April 03, 2078"
2079,2079-04-23,"April 23, 2079"
2080,2080-04-07,"April 07, 2080"
2081,2081-03-30,"March 30, 2081"
2082,2082-04-19,"April 19, 2082"
2083,2083-04-04,"April 04, 2083"
2084,2084-03-26,"March 26, 2084"
2085,2085-04-15,"April 15, 2085"
2086,2086-03-31,"March 31, 2086"
2087,2087-04-20,"April 20, 2087"
2088,2088-04-11,"April 11, 2088"
2089,2089-04-03,"April 03, 2089"
2090,2090-04-16,"April 16, 2090"
2091,2091-04-08,"April 08, 2091"
2092,2092-03-30,"March 30, 2092"
2093,2093-04-12,"April 12, 2093"
2094,2094-04-04,"April 04, 2094"
2095,2095-04-24,"April 24, 2095"
2096,2096-04-15,"April 15, 2096"
2097,2097-03-31,"March 31, 2097"
2098,2098-04-20,"April 20, 2098"
2099,2099-04-12,"April 12, 2099"
2100,2100-03-28,"March 28, 2100"
2101,2101-04-17,"April 17, 2101"
2102,2102-04-09,"April 09, 2102"
2103,2103-03-25,"March 25, 2103"
2104,2104-04-13,"April 13, 2104"
2105,2105-04-05,"April 05, 2105"
2106,2106-04-18,"April 18, 2106"
2107,2107-04-10,"April 10, 2107"
2108,2108-04-01,"April 01, 2108"
2109,2109-04-21,"April 21, 2109"
2110,2110-04-06,"April 06, 2110"
2111,2111-03-29,"March 29, 2111"
2112,2112-04-17,"April 17, 2112"
2113,2113-04-02,"April 02, 2113"
2114,2114-04-22,"April 22, 2114"
2115,2115-04-14,"April 14, 2115"
2116,2116-03-29,"March 29, 2116"
2117,2117-04-18,"April 18, 2117"
2118,2118-04-10,"April 10, 2118"
2119,2119-03-26,"March 26, 2119"
2120,2120-04-14,"April 14, 2120"
2121,2121-04-06,"April 06, 2121"
2122,2122-03-29,"March 29, 2122"
2123,2123-04-11,"April 11, 2123"
2124,2124-04-02,"April 02, 2124"
2125,2125-04-22,"April 22, 2125"
2126,2126-04-14,"April 14, 2126"
2127,2127-03-30,"March 30, 2127"
2128,2128-04-18,"April 18, 2128"
2129,2129-04-10,"April 10, 2129"
2130,2130-03-26,"March 26, 2130"
2131,2131-04-15,"April 15, 2131"
